Title,Price,Location,Link
ps4 semi jailbreak 1 Tb,N/A,"IEP Engineers Town - Sector A, Lahore•",https://www.olx.com.pk/item/ps4-semi-jailbreak-1-tb-iid-1103091242
Photostat Machine,N/A,"Mohra Chowk, Wah•",https://www.olx.com.pk/item/photostat-machine-iid-1113347691
4kw solmade |solar solution |huawei | fronius |goodWe | Tesla inverter,N/A,•,https://www.olx.com.pk/item/4kw-solmade-solar-solution-huawei-fronius-goodwe-tesla-inverter-iid-1111079542
360 Xbox,N/A,"Nishtar Colony, Lahore•",https://www.olx.com.pk/item/360-xbox-iid-1113347698
MacBook Pro 2019 32GB/2TB AMD 5500M 8GB Dual,N/A,Featured,https://www.olx.com.pk/item/macbook-pro-2019-32gb2tb-amd-5500m-8gb-dual-iid-1112408466
Boorat Beat Box Double Snare High Quality,N/A,Featured,https://www.olx.com.pk/item/boorat-beat-box-double-snare-high-quality-iid-1099246332
Fridge/hair refrigerator/condition 10/10,N/A,Featured,https://www.olx.com.pk/item/fridgehair-refrigeratorcondition-1010-iid-1113280249
Ledger Nano X,N/A,Featured,https://www.olx.com.pk/item/ledger-nano-x-iid-1113102407
fridge & AC,N/A,Featured,https://www.olx.com.pk/item/fridge-ac-iid-1112927076
All types of AC Evaporator and pcb available,N/A,Featured,https://www.olx.com.pk/item/all-types-of-ac-evaporator-and-pcb-available-iid-1113093198
Price Drop - 5x2m Window Repair Mesh Tape,N/A,Buy with Delivery,https://www.olx.com.pk/item/price-drop-5x2m-window-repair-mesh-tape-iid-ev418323-1
Sus 380ml Steel Insulated Thermos with Temperature ( Only Black Color ),N/A,Delivery,https://www.olx.com.pk/item/sus-380ml-steel-insulated-thermos-with-temperature-only-black-color-iid-ev452986-1
Portable Scale Digital LCD Display 110lb/50kg Electronic Luggage Hanging Suitcase Travel Weighs Baggage Bag Weight Balance Tools,N/A,Delivery,https://www.olx.com.pk/item/portable-scale-digital-lcd-display-110lb-50kg-electronic-luggage-hanging-suitcase-travel-weighs-baggage-bag-weight-balance-tools-iid-ev531794-1
Mini Handy Fruit Fan ( Random Colors ),N/A,Delivery,https://www.olx.com.pk/item/mini-handy-fruit-fan-random-colors-iid-ev532599-1
Samsung 32GB USB by ALI's Electronics,N/A,Delivery,https://www.olx.com.pk/item/samsung-32gb-usb-by-ali-s-electronics-iid-ev463220-1
NEW Push Chopper (2L) (Box Packing) (With Beater And Lock),N/A,Delivery,https://www.olx.com.pk/item/new-push-chopper-2l-box-packing-with-beater-and-lock-iid-ev476489-1
USB Powered Electronic LED Mosquito Killer Trap Lamp - Electric Shock Bug Zapper for Home Insect Protection,N/A,Delivery,https://www.olx.com.pk/item/usb-powered-electronic-led-mosquito-killer-trap-lamp-electric-shock-bug-zapper-for-home-insect-protection-iid-ev449959-1
400ml Glass Self Stirring Cup for Making Coffee & more,N/A,Delivery,https://www.olx.com.pk/item/400ml-glass-self-stirring-cup-for-making-coffee-more-iid-ev531809-1
Softbox 5070 Umbrella with Stand,N/A,Delivery,https://www.olx.com.pk/item/softbox-5070-umbrella-with-stand-iid-ev494100-1
solar inverter,N/A,Featured,https://www.olx.com.pk/item/solar-inverter-iid-1111414533
MacBook Air 2020 | 512GB | Fast & Reliable Laptop,N/A,Featured,https://www.olx.com.pk/item/macbook-air-2020-512gb-fast-reliable-laptop-iid-1111905283
Msi suprim Liquid Rtx 5090 | 32 Gb | DDR 7,N/A,Featured,https://www.olx.com.pk/item/msi-suprim-liquid-rtx-5090-32-gb-ddr-7-iid-1113107541
Super Asia cooler,N/A,"Prince Road, Islamabad•",https://www.olx.com.pk/item/super-asia-cooler-iid-1113347630
HP Laptop 7th Generation / Corei5/ Neat Condition.,N/A,"Karim Park, Lahore•",https://www.olx.com.pk/item/hp-laptop-7th-generation-corei5-neat-condition-iid-1113347582
refrigerator,N/A,Mangla•,https://www.olx.com.pk/item/refrigerator-iid-1113347613
Fridges & Freezers new condition is avilable,N/A,"Canal Expressway, Faisalabad•",https://www.olx.com.pk/item/fridges-freezers-new-condition-is-avilable-iid-1113347601
Hp Envy 17 Quad Edition i7-4710HQ 4th Gen 12GB Ram 128GB SSD Touch Sc,N/A,"Punjab Coop Housing Society, Lahore•",https://www.olx.com.pk/item/hp-envy-17-quad-edition-i7-4710hq-4th-gen-12gb-ram-128gb-ssd-touch-sc-iid-1113347637
electric kettle 1650 with free delivery,N/A,"Al Rehman City, Lahore•",https://www.olx.com.pk/item/electric-kettle-1650-with-free-delivery-iid-1113347627
Q LED 32 INCH SAMSUNG BOX PACK 4k UHD 3 YEAR WARRANTY O3O24O36462,N/A,"Al Jalil Garden, Lahore•",https://www.olx.com.pk/item/q-led-32-inch-samsung-box-pack-4k-uhd-3-year-warranty-o3o24o36462-iid-1112221575
LCD stand with tv wall mount,N/A,•,https://www.olx.com.pk/item/lcd-stand-with-tv-wall-mount-iid-1108966662
gaming graphic card free Cash on Delivery and 1 year warranty R5 240,N/A,•,https://www.olx.com.pk/item/gaming-graphic-card-free-cash-on-delivery-and-1-year-warranty-r5-240-iid-1113347604
freezer,N/A,"Tarlai, Islamabad•",https://www.olx.com.pk/item/freezer-iid-1113347600
HP Ryzen 5=Core i7 11th Gen 8GB dedicated Graphic 16GB-RAM 256GB-NVMe,N/A,"Model Town - Block R, Lahore•",https://www.olx.com.pk/item/hp-ryzen-5core-i7-11th-gen-8gb-dedicated-graphic-16gb-ram-256gb-nvme-iid-1112398584
Lenovo Thinkpad i7-7th Generation (TouchScreen),N/A,"Satellite Town, Rawalpindi•",https://www.olx.com.pk/item/lenovo-thinkpad-i7-7th-generation-touchscreen-iid-1110875516
"Premium Digitech UPS Systems –Guaranteed ,Free Installation & Delivery",N/A,Call for price,https://www.olx.com.pk/item/premium-digitech-ups-systems-guaranteed-free-installation-delivery-iid-1113347611
32 inch Nobel led. . . . . 25000,N/A,"Kharak, Lahore•",https://www.olx.com.pk/item/32-inch-nobel-led-25000-iid-1112220544
new condition dawlance 1.5 DC inverter olny 3 month use 03124119862,N/A,"New Chauburji Park, Lahore•",https://www.olx.com.pk/item/new-condition-dawlance-15-dc-inverter-olny-3-month-use-03124119862-iid-1113347576
27 inches Monitors | HP Led Monitors | LED display,N/A,Featured,https://www.olx.com.pk/item/27-inches-monitors-hp-led-monitors-led-display-iid-1113123714
Lenovo Yoga AI 7,N/A,Featured,https://www.olx.com.pk/item/lenovo-yoga-ai-7-iid-1113195934
Dawlance Refrigerator for sale,N/A,Featured,https://www.olx.com.pk/item/dawlance-refrigerator-for-sale-iid-1113313242
Haier AC Internal air Condensor non Inverter Saada Ac,N/A,Featured,https://www.olx.com.pk/item/haier-ac-internal-air-condensor-non-inverter-saada-ac-iid-1113311502
SAJJAD AC DEALER,N/A,Featured,https://www.olx.com.pk/item/sajjad-ac-dealer-iid-1112542114
8 Plates Set Spit Dish - Heart,N/A,Buy with Delivery,https://www.olx.com.pk/item/8-plates-set-spit-dish-heart-iid-ev479834-1
10 Pack AG4 377A 377 LR626 SR626SW SR66 LR66 Watch Coin Batteries,N/A,Delivery,https://www.olx.com.pk/item/10-pack-ag4-377a-377-lr626-sr626sw-sr66-lr66-watch-coin-batteries-iid-ev355250-1
Premium Plate Rack 85 CM Cabinet Style Brown Box Packing High Quality- Heavy Duty,N/A,Delivery,https://www.olx.com.pk/item/premium-plate-rack-85-cm-cabinet-style-brown-box-packing-high-quality-heavy-duty-iid-ev518677-1
SAMSUNG AKG TYPE-C EARPHONES By ALI's Electronics,N/A,Delivery,https://www.olx.com.pk/item/samsung-akg-type-c-earphones-by-ali-s-electronics-iid-ev491814-1
Soap Moulds - China (Random Designs),N/A,Delivery,https://www.olx.com.pk/item/soap-moulds-china-random-designs-iid-ev435408-1
Rechargeable Find Back Callus Remover with USB Charging,N/A,Delivery,https://www.olx.com.pk/item/rechargeable-find-back-callus-remover-with-usb-charging-iid-ev481806-1
German Silver Crest Electric Toaster Machine - 850 Watts,N/A,Delivery,https://www.olx.com.pk/item/german-silver-crest-electric-toaster-machine-850-watts-iid-ev452281-1
4 in 1 Waterfall Kitchen Faucet Tape,N/A,Delivery,https://www.olx.com.pk/item/4-in-1-waterfall-kitchen-faucet-tape-iid-ev463276-1
Vaccum Bag 6 Pcs Set  Made in China,N/A,Delivery,https://www.olx.com.pk/item/vaccum-bag-6-pcs-set-made-in-china-iid-ev421403-1
"Touch smart board /Projector Panasonic , epson , sony , viewsonic",N/A,Featured,https://www.olx.com.pk/item/touch-smart-board-projector-panasonic-epson-sony-viewsonic-iid-1109015657
Ali Haider traders / solar structure works,N/A,Featured,https://www.olx.com.pk/item/ali-haider-traders-solar-structure-works-iid-1112584240
Lenovo/Hp/Dell/Samsumg 22/24 Inch Borderless IPS Lcd/Led/Monitor Sale,N/A,Featured,https://www.olx.com.pk/item/lenovohpdellsamsumg-2224-inch-borderless-ips-lcdledmonitor-sale-iid-1095996379
Laptop for sale urgent,N/A,"Korangi Road, Karachi•",https://www.olx.com.pk/item/laptop-for-sale-urgent-iid-1113347556
Laptop Bag Made in Vitnam Orignal,N/A,•,https://www.olx.com.pk/item/laptop-bag-made-in-vitnam-orignal-iid-1113347544
Dawlance fridge,N/A,"Gulshan-e-Ravi, Lahore•",https://www.olx.com.pk/item/dawlance-fridge-iid-1113347543
freezer,N/A,"Village Dehri Malho, Taxila•",https://www.olx.com.pk/item/freezer-iid-1113347542
sewing machine,N/A,"Zaman Colony, Lahore•",https://www.olx.com.pk/item/sewing-machine-iid-1101782635
Panasonic Television TC-2140T CATV HYPER-BAND 4 SYSTEM,N/A,"Cavalry Ground, Lahore•",https://www.olx.com.pk/item/panasonic-television-tc-2140t-catv-hyper-band-4-system-iid-1096791009
Air Fryer,N/A,"Tariq Bin Ziad Colony, Sahiwal•",https://www.olx.com.pk/item/air-fryer-iid-1113347539
"Premium Digitech UPS Systems –Guaranteed ,Free Installation & Delivery",N/A,Call for price,https://www.olx.com.pk/item/premium-digitech-ups-systems-guaranteed-free-installation-delivery-iid-1113347535
ASUS i7 7th Gen | 16GB | GTX 1060 | Best for Gaming & Editing,N/A,•,https://www.olx.com.pk/item/asus-i7-7th-gen-16gb-gtx-1060-best-for-gaming-editing-iid-1113347520
Haier 1.5 ton DC inverter for sale,N/A,"Allama Iqbal Town, Lahore•",https://www.olx.com.pk/item/haier-15-ton-dc-inverter-for-sale-iid-1102468594
Dawlance fridge,N/A,"Toba Pirmahal Road, Toba Tek singh•",https://www.olx.com.pk/item/dawlance-fridge-iid-1113347531
"Premium Digitech UPS Systems –Guaranteed ,Free Installation & Deliver",N/A,Call for price,https://www.olx.com.pk/item/premium-digitech-ups-systems-guaranteed-free-installation-deliver-iid-1113347570
AGS  SP - 100,N/A,•,https://www.olx.com.pk/item/ags-sp-100-iid-1113347567
budget gaming pc for gaming/work can test before buying,N/A,"Allama Iqbal Town - Huma Block, Lahore•",https://www.olx.com.pk/item/budget-gaming-pc-for-gamingwork-can-test-before-buying-iid-1113347577
AC / Used AC & Window Ac / Split Ac / Dc Invertor / Ac sale purchase,N/A,Featured,https://www.olx.com.pk/item/ac-used-ac-window-ac-split-ac-dc-invertor-ac-sale-purchase-iid-1094329651
Electric treadmill repair service belts motor belt panel card repair,N/A,Featured,https://www.olx.com.pk/item/electric-treadmill-repair-service-belts-motor-belt-panel-card-repair-iid-1109705864
P23 Pro Drone CASH ON DELIVERY  OPEN BOX SERVICE,N/A,Featured,https://www.olx.com.pk/item/p23-pro-drone-cash-on-delivery-open-box-service-iid-1111856592
ac for sale,N/A,Featured,https://www.olx.com.pk/item/ac-for-sale-iid-1113005107
Box pack gaming console control 30000+  gaming,N/A,Featured,https://www.olx.com.pk/item/box-pack-gaming-console-control-30000-gaming-iid-1112735554
AC / split AC / Window. AC / inverter AC / ac sale purchased,N/A,Featured,https://www.olx.com.pk/item/ac-split-ac-window-ac-inverter-ac-ac-sale-purchased-iid-1094403145
Sogo Quartz Heater (JPN-94),N/A,Buy with Delivery,https://www.olx.com.pk/item/sogo-quartz-heater-jpn-94-iid-ev482506-1
Mini Pocket Pipe Water Filter Smoke Pipe Filter Outdoor Tool Accessories,N/A,Delivery,https://www.olx.com.pk/item/mini-pocket-pipe-water-filter-smoke-pipe-filter-outdoor-tool-accessories-iid-ev460641-1
NeePho NP-8850 Professional Tripod For DSLR Camera | Tripod Stand,N/A,Delivery,https://www.olx.com.pk/item/neepho-np-8850-professional-tripod-for-dslr-camera-tripod-stand-iid-ev493784-1
Original X 96 Android Box 8 Gb Ram 128 Gb Storage,N/A,Delivery,https://www.olx.com.pk/item/original-x-96-android-box-8-gb-ram-128-gb-storage-iid-ev535495-1
USB Rechargeable One Click intelligent Electric Garlic Machine Chopper,N/A,Delivery,https://www.olx.com.pk/item/usb-rechargeable-one-click-intelligent-electric-garlic-machine-chopper-iid-ev475461-1
Wireless Rolling Messager 5 in 1 Deep Muscle Vibrating Fitness Messager with USB Charging,N/A,Delivery,https://www.olx.com.pk/item/wireless-rolling-messager-5-in-1-deep-muscle-vibrating-fitness-messager-with-usb-charging-iid-ev479613-1
Dragon Professional 440C Stainless Steel Barber Scissor-Ks,N/A,Delivery,https://www.olx.com.pk/item/dragon-professional-440c-stainless-steel-barber-scissor-ks-iid-ev246057-1
Anti-Theft Alarm Lock,N/A,Delivery,https://www.olx.com.pk/item/anti-theft-alarm-lock-iid-ev418315-1
"Digital Water TDS EC and Temperature (3 in 1) Meter, Purity Tester, ATC Function, 1ppm Resolution, 0-9990 ppm",N/A,Delivery,https://www.olx.com.pk/item/digital-water-tds-ec-and-temperature-3-in-1-meter-purity-tester-atc-function-1ppm-resolution-0-9990-ppm-iid-ev453674-1
PS4 1TB Jailbreak with 2 Controllers – Excellent Condition,N/A,Featured,https://www.olx.com.pk/item/ps4-1tb-jailbreak-with-2-controllers-excellent-condition-iid-1112637971
Macbook pro 2012,N/A,Featured,https://www.olx.com.pk/item/macbook-pro-2012-iid-1113281545
Hp laserjer 1536,N/A,Featured,https://www.olx.com.pk/item/hp-laserjer-1536-iid-1112660544
Solar Plate 12 volt,N/A,"Farooqpura, Multan•",https://www.olx.com.pk/item/solar-plate-12-volt-iid-1113347523
Smart LED 42 inches For Sale,N/A,"Mughalpura, Lahore•",https://www.olx.com.pk/item/smart-led-42-inches-for-sale-iid-1111976652
lcd tv stand floor led stand & wall mount brackets imported A+ quality,N/A,•,https://www.olx.com.pk/item/lcd-tv-stand-floor-led-stand-wall-mount-brackets-imported-a-quality-iid-1111221847
super Asia ECM 5000 PLUS cool star,N/A,•,https://www.olx.com.pk/item/super-asia-ecm-5000-plus-cool-star-iid-1113347503
"Premium Digitech UPS Systems –Guaranteed ,Free Installation & Delivery",N/A,Call for price,https://www.olx.com.pk/item/premium-digitech-ups-systems-guaranteed-free-installation-delivery-iid-1113347469
Haier 1.5 Ton Central AC for Sale – Good Condition,N/A,•,https://www.olx.com.pk/item/haier-15-ton-central-ac-for-sale-good-condition-iid-1113347467
sorocec 600W solar inverter hybrid  for sale  03084115696,N/A,"New Multan - Block T, Multan•",https://www.olx.com.pk/item/sorocec-600w-solar-inverter-hybrid-for-sale-03084115696-iid-1113347461
New batteries available and batteries sacrap buying,N/A,"Gulshan-e-Ravi, Lahore•",https://www.olx.com.pk/item/new-batteries-available-and-batteries-sacrap-buying-iid-1113347482
LAPTOP BATTERY REPLACEMENT CENTER,N/A,"D Ground, Faisalabad•",https://www.olx.com.pk/item/laptop-battery-replacement-center-iid-1113347495
Mini neck Fan portable,N/A,"Shah Rukn-e-Alam Colony, Multan•",https://www.olx.com.pk/item/mini-neck-fan-portable-iid-1113347425
Interactive Flat Panel Smart Display Touchscreen Classroom 03233677253,N/A,•,https://www.olx.com.pk/item/interactive-flat-panel-smart-display-touchscreen-classroom-03233677253-iid-1113347411
Razer Blade 17 i9-11900H RTX 3080 16GB 32GB RAM 1TB SSD 4K,N/A,•,https://www.olx.com.pk/item/razer-blade-17-i9-11900h-rtx-3080-16gb-32gb-ram-1tb-ssd-4k-iid-1113347404
HP Core i5 3rd Gen Desktop Computer – 8GB RAM | SSD + HDD | 22” LED,N/A,"Saddar, Karachi•",https://www.olx.com.pk/item/hp-core-i5-3rd-gen-desktop-computer-8gb-ram-ssd-hdd-22-led-iid-1111787981
Royal fans,N/A,"Walled City, Lahore•",https://www.olx.com.pk/item/royal-fans-iid-1110312121
Chromebook,N/A,Featured,https://www.olx.com.pk/item/chromebook-iid-1113340240
Domestic RO Plant/Water Purifier/Mineral Water Filter Plant,N/A,Featured,https://www.olx.com.pk/item/domestic-ro-plantwater-purifiermineral-water-filter-plant-iid-1092808611
Ps Games | Ps Plus | Ps4 Games | Ps5 Games | PlayStation Games | CD,N/A,Featured,https://www.olx.com.pk/item/ps-games-ps-plus-ps4-games-ps5-games-playstation-games-cd-iid-1112435727
10 Pcs Set Adhesive Wall Screws Hanging Nails Self Adhesive No Drilling Wall Hook For Photo Frame Wall Picture Posters,N/A,Buy with Delivery,https://www.olx.com.pk/item/10-pcs-set-adhesive-wall-screws-hanging-nails-self-adhesive-no-drilling-wall-hook-for-photo-frame-wall-picture-posters-iid-ev456406-1
"NeePho Tripod Series – Lightweight & Professional Tripods for DSLR, Mirrorless, Smartphones | Models: NP-910A,",N/A,Delivery,https://www.olx.com.pk/item/neepho-tripod-series-lightweight-professional-tripods-for-dslr-mirrorless-smartphones-models-np-910a-iid-ev493780-1
F8 Water Heating Electric Rod - High Quality Material,N/A,Delivery,https://www.olx.com.pk/item/f8-water-heating-electric-rod-high-quality-material-iid-ev471747-1
Music Fairy 32-Key Electronic Keyboard with 3 Tones and Free Batteries,N/A,Delivery,https://www.olx.com.pk/item/music-fairy-32-key-electronic-keyboard-with-3-tones-and-free-batteries-iid-ev376487-1
"Complete VLogging Setup For Interviews, Podcasts, Now Be A VLogger With Our Complete VLogging Kit | ALI's Electronics",N/A,Delivery,https://www.olx.com.pk/item/complete-vlogging-setup-for-interviews-podcasts-now-be-a-vlogger-with-our-complete-vlogging-kit-ali-s-electronics-iid-ev491234-1
Cute Colorful Kitchen Plastic Storage Fruits & Vegetables Basket Organizer,N/A,Delivery,https://www.olx.com.pk/item/cute-colorful-kitchen-plastic-storage-fruits-vegetables-basket-organizer-iid-ev493493-1
Dual-use Electric mosquito swatter,N/A,Delivery,https://www.olx.com.pk/item/dual-use-electric-mosquito-swatter-iid-ev245800-1
Kitchen water splash guard sink water splash proof - panda,N/A,Delivery,https://www.olx.com.pk/item/kitchen-water-splash-guard-sink-water-splash-proof-panda-iid-ev532602-1
Fridge Lock Adhesive Self Locking Child Safety Door Locks Refrigerator Door Lock with Double Press,N/A,Delivery,https://www.olx.com.pk/item/fridge-lock-adhesive-self-locking-child-safety-door-locks-refrigerator-door-lock-with-double-press-iid-ev499886-1
"Barely Used MacBook Air M3 – Midnight Finish, Top Condition",N/A,Featured,https://www.olx.com.pk/item/barely-used-macbook-air-m3-midnight-finish-top-condition-iid-1113080321
APC SMART UPS Sua Series 1KVA TO 5KVA Pure sine wave,N/A,Featured,https://www.olx.com.pk/item/apc-smart-ups-sua-series-1kva-to-5kva-pure-sine-wave-iid-1108101086
Canon Electric Geyser 130 Liters | High Capacity | Home Use,N/A,Featured,https://www.olx.com.pk/item/canon-electric-geyser-130-liters-high-capacity-home-use-iid-1113134505
3 month used battery power plus 120,N/A,"Gulshan-e-Maymar, Karachi•",https://www.olx.com.pk/item/3-month-used-battery-power-plus-120-iid-1113347395
Generator  almost new,N/A,•,https://www.olx.com.pk/item/generator-almost-new-iid-1113347393
GIGABYTE GTX 1650 Super,N/A,•,https://www.olx.com.pk/item/gigabyte-gtx-1650-super-iid-1112365118
Fronus xeone plus 3200 kva,N/A,"Sabir Colony, Karachi•",https://www.olx.com.pk/item/fronus-xeone-plus-3200-kva-iid-1106239026
Lenovo Workstation C30 P510 P700 P710 P520 P330 P720,N/A,"Hall Road, Lahore•",https://www.olx.com.pk/item/lenovo-workstation-c30-p510-p700-p710-p520-p330-p720-iid-1088004961
core i5 4th generation and core i5 2nd generation PC,N/A,"Awan Town, Rawalpindi•",https://www.olx.com.pk/item/core-i5-4th-generation-and-core-i5-2nd-generation-pc-iid-1084514933
Audionic AD-7000+ sound system,N/A,"Faisal Town, Lahore•",https://www.olx.com.pk/item/audionic-ad-7000-sound-system-iid-1113347385
badam machine thandai,N/A,•,https://www.olx.com.pk/item/badam-machine-thandai-iid-1113347383
air coller full size,N/A,"Chungi Amar Sadhu, Lahore•",https://www.olx.com.pk/item/air-coller-full-size-iid-1113347370
Cooking range,N/A,•,https://www.olx.com.pk/item/cooking-range-iid-1113347366
Window Ac Inverter,N/A,"Karimabad, Karachi•",https://www.olx.com.pk/item/window-ac-inverter-iid-1113347365
2.5 kw Generator,N/A,"Khokarapar, Karachi•",https://www.olx.com.pk/item/25-kw-generator-iid-1113347362
Haier refrigerator for sale (used in Army Family),N/A,Featured,https://www.olx.com.pk/item/haier-refrigerator-for-sale-used-in-army-family-iid-1113167591
Walkie Talkie | Icom | V82 | Wireless | Two Way Radio,N/A,Featured,https://www.olx.com.pk/item/walkie-talkie-icom-v82-wireless-two-way-radio-iid-1092821051
Water dispenser general / Water Dispenser for Sale,N/A,Featured,https://www.olx.com.pk/item/water-dispenser-general-water-dispenser-for-sale-iid-1104398035
"3 solar panel with stand, bettry 17 plates Osaka,,ups 1000 watt",N/A,Featured,https://www.olx.com.pk/item/3-solar-panel-with-stand-bettry-17-plates-osakaups-1000-watt-iid-1113271707
Hyundai Generator HGS 3500,N/A,Featured,https://www.olx.com.pk/item/hyundai-generator-hgs-3500-iid-1112867619
Hikvision High Quality SMD Screens Video walls Pole Streamers,N/A,Featured,https://www.olx.com.pk/item/hikvision-high-quality-smd-screens-video-walls-pole-streamers-iid-1083679972
16pcs Cable Clips Organizer Holder Crystal Design 4cm*1.5cm,N/A,Buy with Delivery,https://www.olx.com.pk/item/16pcs-cable-clips-organizer-holder-crystal-design-4cm-1-5cm-iid-ev480048-1
Multi Type 3D Lamp for Home Decoration,N/A,Delivery,https://www.olx.com.pk/item/multi-type-3d-lamp-for-home-decoration-iid-ev456473-1
"10 PCS Reusable Household Cleaning Gloves Multipurpose PVC Gloves | Perfect for Glass, Kitchen  Bathroom Toilet , Car  | Ideal for Dusting, Dishwashing & Home Maintenance",N/A,Delivery,https://www.olx.com.pk/item/10-pcs-reusable-household-cleaning-gloves-multipurpose-pvc-gloves-perfect-for-glass-kitchen-bathroom-toilet-car-ideal-for-dusting-dishwashing-home-maintenance-iid-ev456404-1
Bruno cutter Vegetable Cutter slicer kitchen cutter,N/A,Delivery,https://www.olx.com.pk/item/bruno-cutter-vegetable-cutter-slicer-kitchen-cutter-iid-ev532604-1
"IPL Laser Permanent Hair Removal Device instrument - 999,999 Flashing Laser Painless Hair Removal Device For Face Body",N/A,Delivery,https://www.olx.com.pk/item/ipl-laser-permanent-hair-removal-device-instrument-999-999-flashing-laser-painless-hair-removal-device-for-face-body-iid-ev482789-1
S 25W 2 PIN CHARGER USB-C by ALI's Electronics,N/A,Delivery,https://www.olx.com.pk/item/s-25w-2-pin-charger-usb-c-by-ali-s-electronics-iid-ev482335-1
